,0,1
310,12/6/14 4:25:01 AM,94.94
311,12/6/14 4:55:01 AM,93.71
312,12/6/14 5:25:01 AM,94.327
313,12/6/14 5:55:01 AM,92.967
314,12/6/14 6:25:01 AM,94.327
315,12/6/14 6:55:01 AM,93.71
316,12/6/14 7:25:01 AM,95.307
317,12/6/14 7:55:01 AM,94.203
318,12/6/14 8:25:01 AM,94.08
319,12/6/14 8:55:01 AM,95.185
320,12/6/14 9:25:01 AM,93.957
321,12/6/14 9:55:01 AM,94.572
322,12/6/14 10:25:01 AM,94.45
323,12/6/14 10:55:01 AM,94.572
324,12/6/14 11:25:01 AM,94.572
325,12/6/14 11:55:01 AM,94.327
326,12/6/14 12:25:01 PM,94.695
327,12/6/14 12:55:01 PM,94.695
328,12/6/14 1:25:01 PM,95.063
329,12/6/14 1:55:01 PM,94.818
330,12/6/14 2:25:01 PM,94.45
331,12/6/14 2:55:01 PM,94.818
332,12/6/14 3:25:01 PM,95.429
333,12/6/14 3:55:01 PM,94.695
334,12/6/14 4:25:01 PM,94.695
335,12/6/14 4:55:01 PM,95.552
336,12/6/14 5:25:01 PM,95.063
337,12/6/14 5:55:01 PM,95.063
338,12/6/14 6:25:01 PM,95.552
339,12/6/14 6:55:01 PM,95.673
340,12/6/14 7:25:01 PM,95.429
341,12/6/14 7:55:01 PM,94.94
342,12/6/14 8:25:01 PM,95.307
343,12/6/14 8:55:01 PM,96.403
344,12/6/14 9:25:01 PM,94.818
345,12/6/14 9:55:01 PM,94.94
346,12/6/14 10:25:01 PM,95.429
347,12/6/14 10:55:01 PM,96.282
348,12/6/14 11:25:01 PM,96.039
349,12/6/14 11:55:01 PM,94.818
350,12/7/14 12:25:01 AM,96.282
351,12/7/14 12:55:01 AM,95.795
352,12/7/14 1:25:01 AM,96.16
353,12/7/14 1:55:01 AM,96.039
354,12/7/14 2:25:01 AM,96.16
355,12/7/14 2:55:01 AM,97.129
356,12/7/14 3:25:01 AM,95.795
357,12/7/14 3:55:01 AM,97.129
358,12/7/14 4:25:01 AM,96.524
359,12/7/14 4:55:01 AM,96.403
360,12/7/14 5:25:01 AM,97.008
361,12/7/14 5:55:01 AM,96.645
362,12/7/14 6:25:01 AM,97.129
363,12/7/14 6:55:01 AM,96.887
364,12/7/14 7:25:01 AM,96.887
365,12/7/14 7:55:01 AM,97.008
366,12/7/14 8:25:01 AM,95.795
367,12/7/14 8:55:01 AM,97.129
368,12/7/14 9:25:01 AM,97.49
369,12/7/14 9:55:01 AM,97.129
370,12/7/14 10:25:01 AM,96.645
371,12/7/14 10:55:01 AM,96.403
372,12/7/14 11:25:01 AM,96.887
373,12/7/14 11:55:01 AM,96.645
